filename,filepath,ingredient_type,ingredient_name,freshness_label
0298.png,data/fruit/apple/FreshApple/0298.png,fruit,apple,fresh
0267.png,data/fruit/apple/FreshApple/0267.png,fruit,apple,fresh
0501.png,data/fruit/apple/FreshApple/0501.png,fruit,apple,fresh
0515.png,data/fruit/apple/FreshApple/0515.png,fruit,apple,fresh
0273.png,data/fruit/apple/FreshApple/0273.png,fruit,apple,fresh
0529.png,data/fruit/apple/FreshApple/0529.png,fruit,apple,fresh
0918.png,data/fruit/apple/FreshApple/0918.png,fruit,apple,fresh
0924.png,data/fruit/apple/FreshApple/0924.png,fruit,apple,fresh
0930.png,data/fruit/apple/FreshApple/0930.png,fruit,apple,fresh
0703.png,data/fruit/apple/FreshApple/0703.png,fruit,apple,fresh
0065.png,data/fruit/apple/FreshApple/0065.png,fruit,apple,fresh
0071.png,data/fruit/apple/FreshApple/0071.png,fruit,apple,fresh
0717.png,data/fruit/apple/FreshApple/0717.png,fruit,apple,fresh
0059.png,data/fruit/apple/FreshApple/0059.png,fruit,apple,fresh
0878.png,data/fruit/apple/FreshApple/0878.png,fruit,apple,fresh
0850.png,data/fruit/apple/FreshApple/0850.png,fruit,apple,fresh
0688.png,data/fruit/apple/FreshApple/0688.png,fruit,apple,fresh
0844.png,data/fruit/apple/FreshApple/0844.png,fruit,apple,fresh
0677.png,data/fruit/apple/FreshApple/0677.png,fruit,apple,fresh
0111.png,data/fruit/apple/FreshApple/0111.png,fruit,apple,fresh
0105.png,data/fruit/apple/FreshApple/0105.png,fruit,apple,fresh
0663.png,data/fruit/apple/FreshApple/0663.png,fruit,apple,fresh
0893.png,data/fruit/apple/FreshApple/0893.png,fruit,apple,fresh
0139.png,data/fruit/apple/FreshApple/0139.png,fruit,apple,fresh
0887.png,data/fruit/apple/FreshApple/0887.png,fruit,apple,fresh
0313.png,data/fruit/apple/FreshApple/0313.png,fruit,apple,fresh
0475.png,data/fruit/apple/FreshApple/0475.png,fruit,apple,fresh
0461.png,data/fruit/apple/FreshApple/0461.png,fruit,apple,fresh
0307.png,data/fruit/apple/FreshApple/0307.png,fruit,apple,fresh
0449.png,data/fruit/apple/FreshApple/0449.png,fruit,apple,fresh
0448.png,data/fruit/apple/FreshApple/0448.png,fruit,apple,fresh
0460.png,data/fruit/apple/FreshApple/0460.png,fruit,apple,fresh
0306.png,data/fruit/apple/FreshApple/0306.png,fruit,apple,fresh
0312.png,data/fruit/apple/FreshApple/0312.png,fruit,apple,fresh
0474.png,data/fruit/apple/FreshApple/0474.png,fruit,apple,fresh
0138.png,data/fruit/apple/FreshApple/0138.png,fruit,apple,fresh
0886.png,data/fruit/apple/FreshApple/0886.png,fruit,apple,fresh
0892.png,data/fruit/apple/FreshApple/0892.png,fruit,apple,fresh
0104.png,data/fruit/apple/FreshApple/0104.png,fruit,apple,fresh
0662.png,data/fruit/apple/FreshApple/0662.png,fruit,apple,fresh
0676.png,data/fruit/apple/FreshApple/0676.png,fruit,apple,fresh
0110.png,data/fruit/apple/FreshApple/0110.png,fruit,apple,fresh
0845.png,data/fruit/apple/FreshApple/0845.png,fruit,apple,fresh
0689.png,data/fruit/apple/FreshApple/0689.png,fruit,apple,fresh
0851.png,data/fruit/apple/FreshApple/0851.png,fruit,apple,fresh
0879.png,data/fruit/apple/FreshApple/0879.png,fruit,apple,fresh
0058.png,data/fruit/apple/FreshApple/0058.png,fruit,apple,fresh
0070.png,data/fruit/apple/FreshApple/0070.png,fruit,apple,fresh
0716.png,data/fruit/apple/FreshApple/0716.png,fruit,apple,fresh
0702.png,data/fruit/apple/FreshApple/0702.png,fruit,apple,fresh
0064.png,data/fruit/apple/FreshApple/0064.png,fruit,apple,fresh
